pickup_zone,dropoff_zone,time_interval,pickup_lon,pickup_lat,dropoff_lon,dropoff_lat,color,n
Central Harlem,Lenox Hill East,12,-73.9538699,40.7988378,-73.9602312,40.7662315,green,396
Central Harlem,Yorkville East,6,-73.9538699,40.7988378,-73.9492079,40.7762231,green,396
Jamaica,Jamaica,20,-73.7889689,40.702677,-73.7889689,40.702677,green,396
Steinway,East Elmhurst,14,-73.9124667,40.7669996,-73.8713099,40.7737505,green,396
Williamsburg (North Side),Greenpoint,14,-73.9634429,40.7190424,-73.9418603,40.7245448,green,396
Woodside,Astoria,16,-73.9036487,40.7512123,-73.9234619,40.7643574,green,396
Woodside,Jackson Heights,16,-73.9036487,40.7512123,-73.8830701,40.7556818,green,396
Woodside,Maspeth,20,-73.9036487,40.7512123,-73.9065883,40.7294018,green,395
Clinton Hill,Clinton Hill,18,-73.9639021,40.6893665,-73.9639021,40.6893665,green,394
Stuyvesant Heights,Stuyvesant Heights,16,-73.9330981,40.6882279,-73.9330981,40.6882279,green,394
Woodside,Steinway,18,-73.9036487,40.7512123,-73.9124667,40.7669996,green,394
Astoria,Queensboro Hill,12,-73.9234619,40.7643574,-73.940358,40.7509287,green,393
Central Harlem,Lincoln Square East,12,-73.9538699,40.7988378,-73.9844722,40.773828,green,393
Jackson Heights,Corona,0,-73.8830701,40.7556818,-73.8642613,40.7449859,green,393
Marine Park/Floyd Bennett Field,Marine Park/Floyd Bennett Field,8,-73.9441579,40.6781784,-73.9441579,40.6781784,green,393
Morningside Heights,East Harlem North,8,-73.9624327,40.8089564,-73.9464769,40.8115504,green,393
Park Slope,Prospect Heights,14,-73.9805817,40.6681038,-73.9668408,40.6774196,green,393
Steinway,East Elmhurst,12,-73.9124667,40.7669996,-73.8713099,40.7737505,green,393
Steinway,East Elmhurst,18,-73.9124667,40.7669996,-73.8713099,40.7737505,green,393
Williamsburg (South Side),Marine Park/Floyd Bennett Field,0,-73.9517335,40.7079936,-73.9441579,40.6781784,green,392
Woodside,Jackson Heights,22,-73.9036487,40.7512123,-73.8830701,40.7556818,green,391
Downtown Brooklyn/MetroTech,Downtown Brooklyn/MetroTech,18,-73.9861433,40.6942409,-73.9861433,40.6942409,green,390
East Harlem North,East Harlem North,4,-73.9464769,40.8115504,-73.9464769,40.8115504,green,389
Elmhurst,Jackson Heights,16,-73.8801301,40.737975,-73.8830701,40.7556818,green,389
Central Harlem,Central Harlem,2,-73.9538699,40.7988378,-73.9538699,40.7988378,green,388
Cobble Hill,Boerum Hill,20,-73.9962255,40.686536,-73.9844722,40.6848689,green,388
East Harlem North,Upper West Side North,22,-73.9464769,40.8115504,-73.9753676,40.7870106,green,388
Williamsburg (North Side),Marine Park/Floyd Bennett Field,22,-73.9634429,40.7190424,-73.9441579,40.6781784,green,388
Elmhurst,Corona,18,-73.8801301,40.737975,-73.8642613,40.7449859,green,387
Long Island City/Hunters Point,Greenpoint,22,-73.95639,40.74128,-73.9418603,40.7245448,green,387
Forest Hills,Briarwood/Jamaica Hills,16,-73.8448469,40.718106,-73.8273848,40.7126936,green,386
Marine Park/Floyd Bennett Field,Clinton Hill,18,-73.9441579,40.6781784,-73.9639021,40.6893665,green,386
Park Slope,Park Slope,22,-73.9805817,40.6681038,-73.9805817,40.6681038,green,386
Prospect Heights,Marine Park/Floyd Bennett Field,0,-73.9668408,40.6774196,-73.9441579,40.6781784,green,386
Elmhurst,Elmhurst/Maspeth,18,-73.8801301,40.737975,-73.8932385,40.7395973,green,385
Elmhurst/Maspeth,East Elmhurst,12,-73.8932385,40.7395973,-73.8713099,40.7737505,green,385
Jackson Heights,Corona,22,-73.8830701,40.7556818,-73.8642613,40.7449859,green,385
Randalls Island,East Harlem North,18,-73.9271644,40.7891291,-73.9464769,40.8115504,green,385
Downtown Brooklyn/MetroTech,Clinton Hill,16,-73.9861433,40.6942409,-73.9639021,40.6893665,green,384
Hamilton Heights,East Harlem North,0,-73.9496079,40.8259597,-73.9464769,40.8115504,green,384
Astoria,Sunnyside,0,-73.9234619,40.7643574,-73.9196324,40.7432759,green,383
Boerum Hill,Prospect Heights,14,-73.9844722,40.6848689,-73.9668408,40.6774196,green,383
Morningside Heights,Hamilton Heights,20,-73.9624327,40.8089564,-73.9496079,40.8259597,green,383
Marine Park/Floyd Bennett Field,Marine Park/Floyd Bennett Field,10,-73.9441579,40.6781784,-73.9441579,40.6781784,green,382
Park Slope,Prospect Heights,22,-73.9805817,40.6681038,-73.9668408,40.6774196,green,382
Long Island City/Hunters Point,Queensboro Hill,8,-73.95639,40.74128,-73.940358,40.7509287,green,381
Park Slope,Park Slope,10,-73.9805817,40.6681038,-73.9805817,40.6681038,green,381
Steinway,East Elmhurst,10,-73.9124667,40.7669996,-73.8713099,40.7737505,green,381
Central Harlem,Lincoln Square East,8,-73.9538699,40.7988378,-73.9844722,40.773828,green,380
Downtown Brooklyn/MetroTech,Boerum Hill,18,-73.9861433,40.6942409,-73.9844722,40.6848689,green,380
Elmhurst,Elmhurst/Maspeth,16,-73.8801301,40.737975,-73.8932385,40.7395973,green,380
Williamsburg (South Side),Williamsburg (North Side),2,-73.9517335,40.7079936,-73.9634429,40.7190424,green,380
East Harlem North,Randalls Island,12,-73.9464769,40.8115504,-73.9271644,40.7891291,green,379
Elmhurst,Jackson Heights,20,-73.8801301,40.737975,-73.8830701,40.7556818,green,379
Highbridge Park,Washington Heights North,8,-73.9332427,40.8433959,-73.9393554,40.8417082,green,379
Randalls Island,Yorkville East,10,-73.9271644,40.7891291,-73.9492079,40.7762231,green,379
Brooklyn Heights,Cobble Hill,20,-73.9932872,40.6960105,-73.9962255,40.686536,green,378
Elmhurst,Corona,16,-73.8801301,40.737975,-73.8642613,40.7449859,green,378
Forest Hills,Briarwood/Jamaica Hills,22,-73.8448469,40.718106,-73.8273848,40.7126936,green,378
Greenpoint,Williamsburg (North Side),22,-73.9418603,40.7245448,-73.9634429,40.7190424,green,378
Rego Park,Elmhurst,16,-73.8624893,40.7255722,-73.8801301,40.737975,green,378
Rego Park,Rego Park,20,-73.8624893,40.7255722,-73.8624893,40.7255722,green,378
Boerum Hill,Downtown Brooklyn/MetroTech,16,-73.9844722,40.6848689,-73.9861433,40.6942409,green,377
East Harlem North,Mott Haven/Port Morris,20,-73.9464769,40.8115504,-73.9218949,40.7992799,green,377
East Harlem North,Randalls Island,22,-73.9464769,40.8115504,-73.9271644,40.7891291,green,377
Elmhurst/Maspeth,North Corona,2,-73.8932385,40.7395973,-73.8624893,40.7502698,green,377
Queensboro Hill,Astoria,18,-73.940358,40.7509287,-73.9234619,40.7643574,green,377
Washington Heights North,Highbridge Park,14,-73.9393554,40.8417082,-73.9332427,40.8433959,green,377
Fort Greene,Fort Greene,16,-73.9741874,40.6920638,-73.9741874,40.6920638,green,376
Morningside Heights,Central Harlem,12,-73.9624327,40.8089564,-73.9538699,40.7988378,green,376
Randalls Island,Yorkville East,14,-73.9271644,40.7891291,-73.9492079,40.7762231,green,376
Elmhurst/Maspeth,Elmhurst,14,-73.8932385,40.7395973,-73.8801301,40.737975,green,375
Queensboro Hill,Astoria,20,-73.940358,40.7509287,-73.9234619,40.7643574,green,375
Morningside Heights,Lincoln Square East,20,-73.9624327,40.8089564,-73.9844722,40.773828,green,374
Woodside,Sunnyside,22,-73.9036487,40.7512123,-73.9196324,40.7432759,green,374
Yorkville East,Central Harlem,16,-73.9492079,40.7762231,-73.9538699,40.7988378,green,373
Cobble Hill,Prospect Heights,20,-73.9962255,40.686536,-73.9668408,40.6774196,green,372
Elmhurst,Corona,20,-73.8801301,40.737975,-73.8642613,40.7449859,green,372
Downtown Brooklyn/MetroTech,Clinton Hill,20,-73.9861433,40.6942409,-73.9639021,40.6893665,green,371
Woodside,Woodside,22,-73.9036487,40.7512123,-73.9036487,40.7512123,green,371
Brooklyn Heights,Carroll Gardens,18,-73.9932872,40.6960105,-73.9991637,40.6795331,green,370
Central Harlem,Upper West Side North,22,-73.9538699,40.7988378,-73.9753676,40.7870106,green,370
Cobble Hill,Prospect Heights,18,-73.9962255,40.686536,-73.9668408,40.6774196,green,370
Greenpoint,Williamsburg (South Side),0,-73.9418603,40.7245448,-73.9517335,40.7079936,green,370
Astoria,Sunnyside,16,-73.9234619,40.7643574,-73.9196324,40.7432759,green,369
Astoria,Woodside,14,-73.9234619,40.7643574,-73.9036487,40.7512123,green,369
Brooklyn Heights,Cobble Hill,14,-73.9932872,40.6960105,-73.9962255,40.686536,green,369
Cobble Hill,Brooklyn Heights,8,-73.9962255,40.686536,-73.9932872,40.6960105,green,369
Elmhurst/Maspeth,Corona,20,-73.8932385,40.7395973,-73.8642613,40.7449859,green,369
Prospect Heights,Clinton Hill,22,-73.9668408,40.6774196,-73.9639021,40.6893665,green,369
Boerum Hill,Boerum Hill,14,-73.9844722,40.6848689,-73.9844722,40.6848689,green,368
Central Harlem,Manhattanville,18,-73.9538699,40.7988378,-73.9558333,40.8169443,green,368
Elmhurst,Elmhurst,14,-73.8801301,40.737975,-73.8801301,40.737975,green,368
Greenpoint,Williamsburg (North Side),8,-73.9418603,40.7245448,-73.9634429,40.7190424,green,368
Morningside Heights,Manhattanville,14,-73.9624327,40.8089564,-73.9558333,40.8169443,green,368
East Harlem North,Manhattanville,0,-73.9464769,40.8115504,-73.9558333,40.8169443,green,366
Fort Greene,Clinton Hill,14,-73.9741874,40.6920638,-73.9639021,40.6893665,green,366
Boerum Hill,Gowanus,18,-73.9844722,40.6848689,-73.9903489,40.6733364,green,365
Marine Park/Floyd Bennett Field,Stuyvesant Heights,14,-73.9441579,40.6781784,-73.9330981,40.6882279,green,365
Steinway,Jackson Heights,0,-73.9124667,40.7669996,-73.8830701,40.7556818,green,365
Central Harlem,Hamilton Heights,10,-73.9538699,40.7988378,-73.9496079,40.8259597,green,364
Cobble Hill,Park Slope,18,-73.9962255,40.686536,-73.9805817,40.6681038,green,364
Downtown Brooklyn/MetroTech,Downtown Brooklyn/MetroTech,16,-73.9861433,40.6942409,-73.9861433,40.6942409,green,364
Forest Hills,Flushing Meadows-Corona Park,22,-73.8448469,40.718106,-73.8448469,40.7428054,green,364
Briarwood/Jamaica Hills,Briarwood/Jamaica Hills,18,-73.8273848,40.7126936,-73.8273848,40.7126936,green,363
Briarwood/Jamaica Hills,Kew Gardens,20,-73.8273848,40.7126936,-73.8272029,40.705695,green,363
Cobble Hill,Carroll Gardens,18,-73.9962255,40.686536,-73.9991637,40.6795331,green,363
Elmhurst/Maspeth,East Elmhurst,10,-73.8932385,40.7395973,-73.8713099,40.7737505,green,363
Elmhurst/Maspeth,North Corona,22,-73.8932385,40.7395973,-73.8624893,40.7502698,green,362
Williamsburg (North Side),Clinton Hill,2,-73.9634429,40.7190424,-73.9639021,40.6893665,green,362
Williamsburg (South Side),East Williamsburg,22,-73.9517335,40.7079936,-73.9330429,40.7158762,green,362
Boerum Hill,Stuyvesant Heights,20,-73.9844722,40.6848689,-73.9330981,40.6882279,green,360
Hamilton Heights,Washington Heights North,10,-73.9496079,40.8259597,-73.9393554,40.8417082,green,360
Williamsburg (South Side),Stuyvesant Heights,20,-73.9517335,40.7079936,-73.9330981,40.6882279,green,360
Jamaica,Jamaica,0,-73.7889689,40.702677,-73.7889689,40.702677,green,359
Steinway,Astoria Park,14,-73.9124667,40.7669996,-73.9215888,40.7796684,green,359
Central Harlem,Central Park,8,-73.9538699,40.7988378,-73.9741874,40.7711329,green,358
Morningside Heights,Upper East Side North,16,-73.9624327,40.8089564,-73.9565551,40.7735649,green,358
Washington Heights North,Hamilton Heights,20,-73.9393554,40.8417082,-73.9496079,40.8259597,green,358
Brooklyn Heights,Carroll Gardens,16,-73.9932872,40.6960105,-73.9991637,40.6795331,green,357
Central Harlem,Midtown Center,8,-73.9538699,40.7988378,-73.9784137,40.7553676,green,357
Prospect Heights,Clinton Hill,20,-73.9668408,40.6774196,-73.9639021,40.6893665,green,357
Astoria,Astoria,6,-73.9234619,40.7643574,-73.9234619,40.7643574,green,356
Boerum Hill,Downtown Brooklyn/MetroTech,18,-73.9844722,40.6848689,-73.9861433,40.6942409,green,356
Central Harlem,Manhattanville,16,-73.9538699,40.7988378,-73.9558333,40.8169443,green,356
Williamsburg (North Side),Lower East Side,22,-73.9634429,40.7190424,-73.9842724,40.715033,green,356
Woodside,Woodside,14,-73.9036487,40.7512123,-73.9036487,40.7512123,green,355
Yorkville East,Upper East Side North,8,-73.9492079,40.7762231,-73.9565551,40.7735649,green,355
Astoria,Jackson Heights,16,-73.9234619,40.7643574,-73.8830701,40.7556818,green,354
Elmhurst/Maspeth,Elmhurst/Maspeth,14,-73.8932385,40.7395973,-73.8932385,40.7395973,green,354
Fort Greene,Stuyvesant Heights,18,-73.9741874,40.6920638,-73.9330981,40.6882279,green,354
Fort Greene,Stuyvesant Heights,20,-73.9741874,40.6920638,-73.9330981,40.6882279,green,354
Jackson Heights,Corona,18,-73.8830701,40.7556818,-73.8642613,40.7449859,green,354
Woodside,Maspeth,22,-73.9036487,40.7512123,-73.9065883,40.7294018,green,354
Jackson Heights,North Corona,16,-73.8830701,40.7556818,-73.8624893,40.7502698,green,353
Randalls Island,East Harlem North,8,-73.9271644,40.7891291,-73.9464769,40.8115504,green,353
Steinway,Jackson Heights,16,-73.9124667,40.7669996,-73.8830701,40.7556818,green,353
Manhattanville,Hamilton Heights,20,-73.9558333,40.8169443,-73.9496079,40.8259597,green,352
Park Slope,Boerum Hill,20,-73.9805817,40.6681038,-73.9844722,40.6848689,green,351
Elmhurst/Maspeth,Woodside,2,-73.8932385,40.7395973,-73.9036487,40.7512123,green,350
Marine Park/Floyd Bennett Field,Prospect Heights,18,-73.9441579,40.6781784,-73.9668408,40.6774196,green,350
Forest Hills,Forest Hills,10,-73.8448469,40.718106,-73.8448469,40.718106,green,349
Greenpoint,Williamsburg (South Side),22,-73.9418603,40.7245448,-73.9517335,40.7079936,green,349
Jackson Heights,Corona,20,-73.8830701,40.7556818,-73.8642613,40.7449859,green,349
Manhattanville,East Harlem North,6,-73.9558333,40.8169443,-73.9464769,40.8115504,green,349
Morningside Heights,East Harlem North,22,-73.9624327,40.8089564,-73.9464769,40.8115504,green,349
Elmhurst/Maspeth,Corona,18,-73.8932385,40.7395973,-73.8642613,40.7449859,green,348
Central Harlem,Morningside Heights,20,-73.9538699,40.7988378,-73.9624327,40.8089564,green,347
East Harlem North,Yorkville East,6,-73.9464769,40.8115504,-73.9492079,40.7762231,green,346
Elmhurst,Elmhurst/Maspeth,20,-73.8801301,40.737975,-73.8932385,40.7395973,green,346
Washington Heights North,Washington Heights North,20,-73.9393554,40.8417082,-73.9393554,40.8417082,green,346
Woodside,Maspeth,16,-73.9036487,40.7512123,-73.9065883,40.7294018,green,346
East Harlem North,Washington Heights North,12,-73.9464769,40.8115504,-73.9393554,40.8417082,green,345
Prospect Heights,Marine Park/Floyd Bennett Field,18,-73.9668408,40.6774196,-73.9441579,40.6781784,green,345
Steinway,Astoria,6,-73.9124667,40.7669996,-73.9234619,40.7643574,green,345
Williamsburg (North Side),Prospect Heights,0,-73.9634429,40.7190424,-73.9668408,40.6774196,green,345
Woodside,Elmhurst/Maspeth,16,-73.9036487,40.7512123,-73.8932385,40.7395973,green,345
Clinton Hill,Boerum Hill,8,-73.9639021,40.6893665,-73.9844722,40.6848689,green,344
Clinton Hill,Marine Park/Floyd Bennett Field,22,-73.9639021,40.6893665,-73.9441579,40.6781784,green,344
Fort Greene,Boerum Hill,8,-73.9741874,40.6920638,-73.9844722,40.6848689,green,344
Jackson Heights,Elmhurst/Maspeth,2,-73.8830701,40.7556818,-73.8932385,40.7395973,green,344
Prospect Heights,Boerum Hill,18,-73.9668408,40.6774196,-73.9844722,40.6848689,green,344
Bushwick North,Bushwick North,2,-73.9212858,40.6944282,-73.9212858,40.6944282,green,343
Hamilton Heights,Central Harlem,18,-73.9496079,40.8259597,-73.9538699,40.7988378,green,343
Randalls Island,Yorkville East,12,-73.9271644,40.7891291,-73.9492079,40.7762231,green,343
Downtown Brooklyn/MetroTech,Fort Greene,22,-73.9861433,40.6942409,-73.9741874,40.6920638,green,342
Fort Greene,Marine Park/Floyd Bennett Field,16,-73.9741874,40.6920638,-73.9441579,40.6781784,green,342
Jackson Heights,Elmhurst/Maspeth,4,-73.8830701,40.7556818,-73.8932385,40.7395973,green,342
Clinton Hill,Clinton Hill,22,-73.9639021,40.6893665,-73.9639021,40.6893665,green,341
Morningside Heights,Hamilton Heights,22,-73.9624327,40.8089564,-73.9496079,40.8259597,green,341
Prospect Heights,Prospect Heights,0,-73.9668408,40.6774196,-73.9668408,40.6774196,green,341
Williamsburg (South Side),East Williamsburg,2,-73.9517335,40.7079936,-73.9330429,40.7158762,green,341
Clinton Hill,Prospect Heights,18,-73.9639021,40.6893665,-73.9668408,40.6774196,green,340
Downtown Brooklyn/MetroTech,Boerum Hill,16,-73.9861433,40.6942409,-73.9844722,40.6848689,green,340
Hamilton Heights,Washington Heights North,12,-73.9496079,40.8259597,-73.9393554,40.8417082,green,340
Manhattanville,East Harlem North,22,-73.9558333,40.8169443,-73.9464769,40.8115504,green,340
Park Slope,Boerum Hill,14,-73.9805817,40.6681038,-73.9844722,40.6848689,green,340
Prospect Heights,Park Slope,22,-73.9668408,40.6774196,-73.9805817,40.6681038,green,340
Central Harlem,Central Park,16,-73.9538699,40.7988378,-73.9741874,40.7711329,green,339
East Harlem North,Mott Haven/Port Morris,18,-73.9464769,40.8115504,-73.9218949,40.7992799,green,339
Fort Greene,Prospect Heights,22,-73.9741874,40.6920638,-73.9668408,40.6774196,green,339
Jackson Heights,Elmhurst/Maspeth,14,-73.8830701,40.7556818,-73.8932385,40.7395973,green,339
Jackson Heights,Elmhurst/Maspeth,18,-73.8830701,40.7556818,-73.8932385,40.7395973,green,339
Manhattanville,Morningside Heights,10,-73.9558333,40.8169443,-73.9624327,40.8089564,green,339
Boerum Hill,Clinton Hill,14,-73.9844722,40.6848689,-73.9639021,40.6893665,green,338
Boerum Hill,Downtown Brooklyn/MetroTech,20,-73.9844722,40.6848689,-73.9861433,40.6942409,green,338
Central Harlem,Bloomingdale,6,-73.9538699,40.7988378,-73.9697795,40.7988958,green,338
Jamaica,Jamaica,16,-73.7889689,40.702677,-73.7889689,40.702677,green,338
Clinton Hill,Clinton Hill,20,-73.9639021,40.6893665,-73.9639021,40.6893665,green,337
East Harlem North,Randalls Island,10,-73.9464769,40.8115504,-73.9271644,40.7891291,green,337
Boerum Hill,Prospect Heights,0,-73.9844722,40.6848689,-73.9668408,40.6774196,green,336
Briarwood/Jamaica Hills,Kew Gardens,22,-73.8273848,40.7126936,-73.8272029,40.705695,green,336
Central Harlem,Central Park,10,-73.9538699,40.7988378,-73.9741874,40.7711329,green,336
Rego Park,Rego Park,14,-73.8624893,40.7255722,-73.8624893,40.7255722,green,336
Astoria,Woodside,10,-73.9234619,40.7643574,-73.9036487,40.7512123,green,335
Boerum Hill,Boerum Hill,12,-73.9844722,40.6848689,-73.9844722,40.6848689,green,335
Elmhurst,Elmhurst/Maspeth,14,-73.8801301,40.737975,-73.8932385,40.7395973,green,335
Forest Hills,Rego Park,12,-73.8448469,40.718106,-73.8624893,40.7255722,green,335
Hamilton Heights,Washington Heights North,22,-73.9496079,40.8259597,-73.9393554,40.8417082,green,335
Jackson Heights,Woodside,14,-73.8830701,40.7556818,-73.9036487,40.7512123,green,335
Williamsburg (North Side),Clinton Hill,20,-73.9634429,40.7190424,-73.9639021,40.6893665,green,335
Park Slope,Prospect Heights,8,-73.9805817,40.6681038,-73.9668408,40.6774196,green,334
Randalls Island,Yorkville East,20,-73.9271644,40.7891291,-73.9492079,40.7762231,green,334
Cobble Hill,Boerum Hill,14,-73.9962255,40.686536,-73.9844722,40.6848689,green,333
Bushwick North,Bushwick North,0,-73.9212858,40.6944282,-73.9212858,40.6944282,green,332
Fort Greene,Fort Greene,20,-73.9741874,40.6920638,-73.9741874,40.6920638,green,332
Washington Heights North,Highbridge Park,12,-73.9393554,40.8417082,-73.9332427,40.8433959,green,332
Yorkville East,Central Harlem,10,-73.9492079,40.7762231,-73.9538699,40.7988378,green,332
Fort Greene,Stuyvesant Heights,22,-73.9741874,40.6920638,-73.9330981,40.6882279,green,331
Hamilton Heights,Central Harlem,16,-73.9496079,40.8259597,-73.9538699,40.7988378,green,331
Prospect Heights,Clinton Hill,18,-73.9668408,40.6774196,-73.9639021,40.6893665,green,331
Williamsburg (North Side),Lower East Side,0,-73.9634429,40.7190424,-73.9842724,40.715033,green,331
Jackson Heights,Jackson Heights,8,-73.8830701,40.7556818,-73.8830701,40.7556818,green,330
Long Island City/Hunters Point,Long Island City/Hunters Point,12,-73.95639,40.74128,-73.95639,40.74128,green,330
Cobble Hill,Brooklyn Heights,16,-73.9962255,40.686536,-73.9932872,40.6960105,green,329
Rego Park,North Corona,18,-73.8624893,40.7255722,-73.8624893,40.7502698,green,329
Woodside,Steinway,22,-73.9036487,40.7512123,-73.9124667,40.7669996,green,329
Yorkville East,East Harlem North,8,-73.9492079,40.7762231,-73.9464769,40.8115504,green,329
Boerum Hill,Marine Park/Floyd Bennett Field,16,-73.9844722,40.6848689,-73.9441579,40.6781784,green,328
Central Harlem,Central Park,14,-73.9538699,40.7988378,-73.9741874,40.7711329,green,328
Jackson Heights,Woodside,16,-73.8830701,40.7556818,-73.9036487,40.7512123,green,328
Jamaica,South Jamaica,18,-73.7889689,40.702677,-73.7919103,40.6808594,green,328
Marine Park/Floyd Bennett Field,Stuyvesant Heights,0,-73.9441579,40.6781784,-73.9330981,40.6882279,green,328
Morningside Heights,Lincoln Square East,12,-73.9624327,40.8089564,-73.9844722,40.773828,green,328
Randalls Island,East Harlem North,16,-73.9271644,40.7891291,-73.9464769,40.8115504,green,327
Cobble Hill,Brooklyn Heights,18,-73.9962255,40.686536,-73.9932872,40.6960105,green,326
Cobble Hill,Carroll Gardens,16,-73.9962255,40.686536,-73.9991637,40.6795331,green,326
Rego Park,Jackson Heights,18,-73.8624893,40.7255722,-73.8830701,40.7556818,green,326
South Williamsburg,Williamsburg (South Side),0,-73.9701967,40.7085692,-73.9517335,40.7079936,green,326
Cobble Hill,Park Slope,20,-73.9962255,40.686536,-73.9805817,40.6681038,green,325
Hamilton Heights,Central Harlem,8,-73.9496079,40.8259597,-73.9538699,40.7988378,green,325
Jackson Heights,Corona,16,-73.8830701,40.7556818,-73.8642613,40.7449859,green,325
Jackson Heights,Woodside,18,-73.8830701,40.7556818,-73.9036487,40.7512123,green,325
Morningside Heights,Central Harlem,10,-73.9624327,40.8089564,-73.9538699,40.7988378,green,325
Park Slope,Boerum Hill,8,-73.9805817,40.6681038,-73.9844722,40.6848689,green,325
Washington Heights North,East Harlem North,16,-73.9393554,40.8417082,-73.9464769,40.8115504,green,325
Central Harlem,Lincoln Square East,20,-73.9538699,40.7988378,-73.9844722,40.773828,green,324
Elmhurst/Maspeth,Old Astoria,22,-73.8932385,40.7395973,-73.892939,40.7328166,green,324
Park Slope,Prospect Heights,10,-73.9805817,40.6681038,-73.9668408,40.6774196,green,324
Washington Heights North,Hamilton Heights,12,-73.9393554,40.8417082,-73.9496079,40.8259597,green,324
Woodside,Jackson Heights,0,-73.9036487,40.7512123,-73.8830701,40.7556818,green,324
Clinton Hill,Prospect Heights,20,-73.9639021,40.6893665,-73.9668408,40.6774196,green,323
Cobble Hill,Prospect Heights,22,-73.9962255,40.686536,-73.9668408,40.6774196,green,323
East Harlem North,Washington Heights North,8,-73.9464769,40.8115504,-73.9393554,40.8417082,green,323
Fort Greene,Prospect Heights,16,-73.9741874,40.6920638,-73.9668408,40.6774196,green,323
Jackson Heights,Elmhurst/Maspeth,10,-73.8830701,40.7556818,-73.8932385,40.7395973,green,323
Long Island City/Hunters Point,Long Island City/Hunters Point,14,-73.95639,40.74128,-73.95639,40.74128,green,323
Prospect Heights,Prospect Heights,14,-73.9668408,40.6774196,-73.9668408,40.6774196,green,323
Washington Heights North,Hamilton Heights,10,-73.9393554,40.8417082,-73.9496079,40.8259597,green,323
Williamsburg (North Side),South Williamsburg,16,-73.9634429,40.7190424,-73.9701967,40.7085692,green,323
Elmhurst/Maspeth,Woodside,12,-73.8932385,40.7395973,-73.9036487,40.7512123,green,322
Jackson Heights,Jackson Heights,10,-73.8830701,40.7556818,-73.8830701,40.7556818,green,322
Marine Park/Floyd Bennett Field,Prospect Heights,20,-73.9441579,40.6781784,-73.9668408,40.6774196,green,322
Morningside Heights,Morningside Heights,20,-73.9624327,40.8089564,-73.9624327,40.8089564,green,322
Randalls Island,East Harlem North,20,-73.9271644,40.7891291,-73.9464769,40.8115504,green,322
Williamsburg (South Side),Long Island City/Hunters Point,0,-73.9517335,40.7079936,-73.95639,40.74128,green,322
Woodside,Elmhurst/Maspeth,22,-73.9036487,40.7512123,-73.8932385,40.7395973,green,322
Central Harlem,Hamilton Heights,8,-73.9538699,40.7988378,-73.9496079,40.8259597,green,321
Corona,Corona,18,-73.8642613,40.7449859,-73.8642613,40.7449859,green,321
Elmhurst,Jackson Heights,14,-73.8801301,40.737975,-73.8830701,40.7556818,green,321
Elmhurst/Maspeth,Elmhurst/Maspeth,2,-73.8932385,40.7395973,-73.8932385,40.7395973,green,321
Rego Park,North Corona,20,-73.8624893,40.7255722,-73.8624893,40.7502698,green,321
Williamsburg (North Side),Marine Park/Floyd Bennett Field,2,-73.9634429,40.7190424,-73.9441579,40.6781784,green,321
Woodside,Old Astoria,20,-73.9036487,40.7512123,-73.892939,40.7328166,green,321
Morningside Heights,Yorkville East,16,-73.9624327,40.8089564,-73.9492079,40.7762231,green,320
Rego Park,North Corona,16,-73.8624893,40.7255722,-73.8624893,40.7502698,green,320
South Williamsburg,Williamsburg (North Side),0,-73.9701967,40.7085692,-73.9634429,40.7190424,green,320
Steinway,East Elmhurst,8,-73.9124667,40.7669996,-73.8713099,40.7737505,green,320
Williamsburg (North Side),Bushwick North,20,-73.9634429,40.7190424,-73.9212858,40.6944282,green,320
Woodside,Sunnyside,16,-73.9036487,40.7512123,-73.9196324,40.7432759,green,320
Yorkville East,Central Harlem,12,-73.9492079,40.7762231,-73.9538699,40.7988378,green,320
Boerum Hill,Fort Greene,22,-73.9844722,40.6848689,-73.9741874,40.6920638,green,319
Clinton Hill,Clinton Hill,16,-73.9639021,40.6893665,-73.9639021,40.6893665,green,319
Clinton Hill,Stuyvesant Heights,22,-73.9639021,40.6893665,-73.9330981,40.6882279,green,319
Cobble Hill,Cobble Hill,20,-73.9962255,40.686536,-73.9962255,40.686536,green,319
Little Italy/NoLiTa,Cobble Hill,18,-73.9904233,40.7065737,-73.9962255,40.686536,green,319
Rego Park,Corona,14,-73.8624893,40.7255722,-73.8642613,40.7449859,green,319
Briarwood/Jamaica Hills,Briarwood/Jamaica Hills,20,-73.8273848,40.7126936,-73.8273848,40.7126936,green,318
Fort Greene,Boerum Hill,18,-73.9741874,40.6920638,-73.9844722,40.6848689,green,318
Hamilton Heights,Manhattanville,8,-73.9496079,40.8259597,-73.9558333,40.8169443,green,318
Morningside Heights,Manhattanville,12,-73.9624327,40.8089564,-73.9558333,40.8169443,green,318
Yorkville East,Central Harlem,14,-73.9492079,40.7762231,-73.9538699,40.7988378,green,318
Astoria,Steinway,6,-73.9234619,40.7643574,-73.9124667,40.7669996,green,317
Jackson Heights,Steinway,8,-73.8830701,40.7556818,-73.9124667,40.7669996,green,317
Long Island City/Hunters Point,Greenpoint,18,-73.95639,40.74128,-73.9418603,40.7245448,green,317
Williamsburg (North Side),Williamsburg (South Side),14,-73.9634429,40.7190424,-73.9517335,40.7079936,green,317
Clinton Hill,Fort Greene,18,-73.9639021,40.6893665,-73.9741874,40.6920638,green,316
