pickup_zone,dropoff_zone,time_interval,pickup_lon,pickup_lat,dropoff_lon,dropoff_lat,n
Hamilton Heights,Lincoln Square East,8,-73.9496079,40.8259597,-73.9844722,40.773828,120
Jamaica,Richmond Hill,16,-73.7889689,40.702677,-73.8272029,40.6958108,120
Little Italy/NoLiTa,Carroll Gardens,18,-73.9904233,40.7065737,-73.9991637,40.6795331,120
Little Italy/NoLiTa,East Village,20,-73.9904233,40.7065737,-73.9815337,40.7264773,120
Long Island City/Hunters Point,JFK Airport,6,-73.95639,40.74128,-73.7781391,40.6413111,120
Manhattanville,Upper West Side North,8,-73.9558333,40.8169443,-73.9753676,40.7870106,120
Morningside Heights,Garment District,16,-73.9624327,40.8089564,-73.9916342,40.7547072,120
Park Slope,Clinton Hill,22,-73.9805817,40.6681038,-73.9639021,40.6893665,120
Park Slope,Crown Heights North,18,-73.9805817,40.6681038,-73.9447994,40.6681032,120
Park Slope,Marine Park/Floyd Bennett Field,22,-73.9805817,40.6681038,-73.9441579,40.6781784,120
Williamsburg (North Side),Chinatown,16,-73.9634429,40.7190424,-73.9970307,40.7157509,120
Williamsburg (North Side),Downtown Brooklyn/MetroTech,20,-73.9634429,40.7190424,-73.9861433,40.6942409,120
Williamsburg (North Side),Kips Bay,0,-73.9634429,40.7190424,-73.9800645,40.7423292,120
Williamsburg (South Side),Lower East Side,0,-73.9517335,40.7079936,-73.9842724,40.715033,120
Boerum Hill,Carroll Gardens,14,-73.9844722,40.6848689,-73.9991637,40.6795331,121
Boerum Hill,Erasmus,22,-73.9844722,40.6848689,-73.9523791,40.6496713,121
Boerum Hill,Sunset Park East,0,-73.9844722,40.6848689,-74.0123851,40.645532,121
Briarwood/Jamaica Hills,Breezy Point/Fort Tilden/Riis Beach,2,-73.8273848,40.7126936,-73.7948516,40.7282239,121
Carroll Gardens,Red Hook,20,-73.9991637,40.6795331,-74.0094471,40.6772802,121
Central Harlem,JFK Airport,14,-73.9538699,40.7988378,-73.7781391,40.6413111,121
Downtown Brooklyn/MetroTech,Williamsburg (North Side),18,-73.9861433,40.6942409,-73.9634429,40.7190424,121
East Harlem North,Times Sq/Theatre District,22,-73.9464769,40.8115504,-73.9841274,40.7592686,121
Elmhurst,Woodhaven,20,-73.8801301,40.737975,-73.8566087,40.6901366,121
Forest Hills,Breezy Point/Fort Tilden/Riis Beach,22,-73.8448469,40.718106,-73.7948516,40.7282239,121
Fort Greene,Cobble Hill,18,-73.9741874,40.6920638,-73.9962255,40.686536,121
Manhattanville,Central Harlem,6,-73.9558333,40.8169443,-73.9538699,40.7988378,121
Melrose South,East Concourse/Concourse Village,16,-73.9168766,40.8209719,-73.919308,40.824062,121
Morningside Heights,East Elmhurst,14,-73.9624327,40.8089564,-73.8713099,40.7737505,121
Mott Haven/Port Morris,East Harlem North,14,-73.9218949,40.7992799,-73.9464769,40.8115504,121
Washington Heights North,Bloomingdale,12,-73.9393554,40.8417082,-73.9697795,40.7988958,121
Washington Heights North,East Harlem North,22,-73.9393554,40.8417082,-73.9464769,40.8115504,121
Williamsburg (North Side),Yorkville East,0,-73.9634429,40.7190424,-73.9492079,40.7762231,121
Boerum Hill,Fort Greene,0,-73.9844722,40.6848689,-73.9741874,40.6920638,122
Bushwick North,Stuyvesant Heights,20,-73.9212858,40.6944282,-73.9330981,40.6882279,122
Carroll Gardens,Cobble Hill,16,-73.9991637,40.6795331,-73.9962255,40.686536,122
Carroll Gardens,Red Hook,16,-73.9991637,40.6795331,-74.0094471,40.6772802,122
Downtown Brooklyn/MetroTech,Prospect Heights,22,-73.9861433,40.6942409,-73.9668408,40.6774196,122
Hamilton Heights,Highbridge Park,12,-73.9496079,40.8259597,-73.9332427,40.8433959,122
Highbridge Park,Inwood,12,-73.9332427,40.8433959,-73.9212019,40.8677145,122
Jackson Heights,Astoria,10,-73.8830701,40.7556818,-73.9234619,40.7643574,122
Little Italy/NoLiTa,Downtown Brooklyn/MetroTech,8,-73.9904233,40.7065737,-73.9861433,40.6942409,122
Long Island City/Hunters Point,Greenpoint,14,-73.95639,40.74128,-73.9418603,40.7245448,122
Long Island City/Hunters Point,Queensboro Hill,14,-73.95639,40.74128,-73.940358,40.7509287,122
Long Island City/Hunters Point,Sunnyside,22,-73.95639,40.74128,-73.9196324,40.7432759,122
Marine Park/Floyd Bennett Field,Clinton Hill,6,-73.9441579,40.6781784,-73.9639021,40.6893665,122
Marine Park/Floyd Bennett Field,Crown Heights North,16,-73.9441579,40.6781784,-73.9447994,40.6681032,122
Prospect Heights,Williamsburg (South Side),20,-73.9668408,40.6774196,-73.9517335,40.7079936,122
Steinway,Woodside,2,-73.9124667,40.7669996,-73.9036487,40.7512123,122
Washington Heights North,Washington Heights North,2,-73.9393554,40.8417082,-73.9393554,40.8417082,122
Williamsburg (North Side),Crown Heights North,2,-73.9634429,40.7190424,-73.9447994,40.6681032,122
Williamsburg (South Side),Fort Greene,22,-73.9517335,40.7079936,-73.9741874,40.6920638,122
Yorkville East,Midtown East,8,-73.9492079,40.7762231,-73.9668408,40.7540369,122
Astoria,North Corona,20,-73.9234619,40.7643574,-73.8624893,40.7502698,123
Bushwick North,East Williamsburg,2,-73.9212858,40.6944282,-73.9330429,40.7158762,123
Central Harlem,Randalls Island,2,-73.9538699,40.7988378,-73.9271644,40.7891291,123
Corona,Jackson Heights,12,-73.8642613,40.7449859,-73.8830701,40.7556818,123
Elmhurst/Maspeth,Elmhurst,8,-73.8932385,40.7395973,-73.8801301,40.737975,123
Fort Greene,Bushwick North,0,-73.9741874,40.6920638,-73.9212858,40.6944282,123
Greenpoint,East Williamsburg,2,-73.9418603,40.7245448,-73.9330429,40.7158762,123
Hamilton Heights,Morningside Heights,6,-73.9496079,40.8259597,-73.9624327,40.8089564,123
Highbridge Park,Inwood,8,-73.9332427,40.8433959,-73.9212019,40.8677145,123
Inwood,Highbridge Park,10,-73.9212019,40.8677145,-73.9332427,40.8433959,123
Inwood,Highbridge Park,12,-73.9212019,40.8677145,-73.9332427,40.8433959,123
Jackson Heights,North Corona,6,-73.8830701,40.7556818,-73.8624893,40.7502698,123
Jackson Heights,Rego Park,16,-73.8830701,40.7556818,-73.8624893,40.7255722,123
Little Italy/NoLiTa,Boerum Hill,20,-73.9904233,40.7065737,-73.9844722,40.6848689,123
Little Italy/NoLiTa,Chinatown,18,-73.9904233,40.7065737,-73.9970307,40.7157509,123
Little Italy/NoLiTa,Cobble Hill,14,-73.9904233,40.7065737,-73.9962255,40.686536,123
North Corona,Corona,16,-73.8624893,40.7502698,-73.8642613,40.7449859,123
Park Slope,Cobble Hill,22,-73.9805817,40.6681038,-73.9962255,40.686536,123
Prospect Heights,Marine Park/Floyd Bennett Field,8,-73.9668408,40.6774196,-73.9441579,40.6781784,123
South Williamsburg,Williamsburg (North Side),10,-73.9701967,40.7085692,-73.9634429,40.7190424,123
Washington Heights North,Bloomingdale,10,-73.9393554,40.8417082,-73.9697795,40.7988958,123
Washington Heights North,Lincoln Square East,10,-73.9393554,40.8417082,-73.9844722,40.773828,123
Williamsburg (North Side),SoHo,20,-73.9634429,40.7190424,-74.0029883,40.723301,123
Williamsburg (South Side),East Williamsburg,4,-73.9517335,40.7079936,-73.9330429,40.7158762,123
Williamsburg (South Side),South Williamsburg,18,-73.9517335,40.7079936,-73.9701967,40.7085692,123
Boerum Hill,Flatbush/Ditmas Park,20,-73.9844722,40.6848689,-73.9624327,40.6409217,124
Carroll Gardens,Boerum Hill,16,-73.9991637,40.6795331,-73.9844722,40.6848689,124
Clinton Hill,Williamsburg (North Side),12,-73.9639021,40.6893665,-73.9634429,40.7190424,124
Corona,Corona,2,-73.8642613,40.7449859,-73.8642613,40.7449859,124
Corona,Elmhurst,12,-73.8642613,40.7449859,-73.8801301,40.737975,124
East Harlem North,University Heights/Morris Heights,20,-73.9464769,40.8115504,-73.9172035,40.8494044,124
Elmhurst,Ridgewood,20,-73.8801301,40.737975,-73.9018292,40.7043986,124
Flushing,North Corona,20,-73.833079,40.7674987,-73.8624893,40.7502698,124
Fort Greene,Cobble Hill,20,-73.9741874,40.6920638,-73.9962255,40.686536,124
Manhattanville,Washington Heights North,20,-73.9558333,40.8169443,-73.9393554,40.8417082,124
Marine Park/Floyd Bennett Field,Williamsburg (North Side),18,-73.9441579,40.6781784,-73.9634429,40.7190424,124
Morningside Heights,Central Park,14,-73.9624327,40.8089564,-73.9741874,40.7711329,124
Prospect Heights,Erasmus,0,-73.9668408,40.6774196,-73.9523791,40.6496713,124
Randalls Island,Upper East Side North,12,-73.9271644,40.7891291,-73.9565551,40.7735649,124
Sunnyside,Elmhurst,20,-73.9196324,40.7432759,-73.8801301,40.737975,124
Washington Heights North,Morningside Heights,18,-73.9393554,40.8417082,-73.9624327,40.8089564,124
Williamsburg (North Side),Bushwick North,16,-73.9634429,40.7190424,-73.9212858,40.6944282,124
Astoria,Long Island City/Queens Plaza,6,-73.9234619,40.7643574,-73.9373702,40.7487173,125
Boerum Hill,Williamsburg (South Side),18,-73.9844722,40.6848689,-73.9517335,40.7079936,125
Carroll Gardens,Brooklyn Heights,14,-73.9991637,40.6795331,-73.9932872,40.6960105,125
Central Harlem,Washington Heights North,0,-73.9538699,40.7988378,-73.9393554,40.8417082,125
Clinton Hill,Bushwick North,18,-73.9639021,40.6893665,-73.9212858,40.6944282,125
Cobble Hill,Cobble Hill,8,-73.9962255,40.686536,-73.9962255,40.686536,125
Cobble Hill,Fort Greene,14,-73.9962255,40.686536,-73.9741874,40.6920638,125
Corona,North Corona,12,-73.8642613,40.7449859,-73.8624893,40.7502698,125
East Harlem North,East Elmhurst,18,-73.9464769,40.8115504,-73.8713099,40.7737505,125
Fort Greene,Park Slope,16,-73.9741874,40.6920638,-73.9805817,40.6681038,125
Hamilton Heights,Highbridge Park,0,-73.9496079,40.8259597,-73.9332427,40.8433959,125
Jackson Heights,Corona,8,-73.8830701,40.7556818,-73.8642613,40.7449859,125
Jamaica,Baisley Park,16,-73.7889689,40.702677,-73.786025,40.6737751,125
Morningside Heights,JFK Airport,16,-73.9624327,40.8089564,-73.7781391,40.6413111,125
Morningside Heights,Lenox Hill East,14,-73.9624327,40.8089564,-73.9602312,40.7662315,125
Morningside Heights,Upper West Side North,6,-73.9624327,40.8089564,-73.9753676,40.7870106,125
Queensboro Hill,Long Island City/Hunters Point,14,-73.940358,40.7509287,-73.95639,40.74128,125
Rego Park,Middle Village,18,-73.8624893,40.7255722,-73.87425,40.717372,125
Stuyvesant Heights,Bushwick North,14,-73.9330981,40.6882279,-73.9212858,40.6944282,125
Williamsburg (North Side),Park Slope,20,-73.9634429,40.7190424,-73.9805817,40.6681038,125
Woodside,Elmhurst,10,-73.9036487,40.7512123,-73.8801301,40.737975,125
Bushwick North,Marine Park/Floyd Bennett Field,0,-73.9212858,40.6944282,-73.9441579,40.6781784,126
Clinton Hill,Downtown Brooklyn/MetroTech,20,-73.9639021,40.6893665,-73.9861433,40.6942409,126
Clinton Hill,Stuyvesant Heights,12,-73.9639021,40.6893665,-73.9330981,40.6882279,126
Crown Heights North,Crown Heights North,20,-73.9447994,40.6681032,-73.9447994,40.6681032,126
Elmhurst,Corona,10,-73.8801301,40.737975,-73.8642613,40.7449859,126
Fort Greene,Bushwick North,18,-73.9741874,40.6920638,-73.9212858,40.6944282,126
Fort Greene,Stuyvesant Heights,12,-73.9741874,40.6920638,-73.9330981,40.6882279,126
Gowanus,Green-Wood Cemetery,18,-73.9903489,40.6733364,-73.995692,40.659017,126
Greenpoint,Greenpoint,14,-73.9418603,40.7245448,-73.9418603,40.7245448,126
Greenpoint,Long Island City/Hunters Point,2,-73.9418603,40.7245448,-73.95639,40.74128,126
Little Italy/NoLiTa,Williamsburg (North Side),12,-73.9904233,40.7065737,-73.9634429,40.7190424,126
Morningside Heights,Central Park,12,-73.9624327,40.8089564,-73.9741874,40.7711329,126
Mott Haven/Port Morris,East Harlem North,10,-73.9218949,40.7992799,-73.9464769,40.8115504,126
Park Slope,Clinton Hill,20,-73.9805817,40.6681038,-73.9639021,40.6893665,126
Prospect Heights,Bushwick North,0,-73.9668408,40.6774196,-73.9212858,40.6944282,126
Rego Park,Elmhurst/Maspeth,20,-73.8624893,40.7255722,-73.8932385,40.7395973,126
South Williamsburg,Stuyvesant Heights,2,-73.9701967,40.7085692,-73.9330981,40.6882279,126
Sunnyside,Astoria,0,-73.9196324,40.7432759,-73.9234619,40.7643574,126
Sunnyside,Elmhurst/Maspeth,16,-73.9196324,40.7432759,-73.8932385,40.7395973,126
Williamsburg (North Side),Downtown Brooklyn/MetroTech,0,-73.9634429,40.7190424,-73.9861433,40.6942409,126
Williamsburg (North Side),South Williamsburg,12,-73.9634429,40.7190424,-73.9701967,40.7085692,126
Woodside,East Elmhurst,14,-73.9036487,40.7512123,-73.8713099,40.7737505,126
Woodside,North Corona,20,-73.9036487,40.7512123,-73.8624893,40.7502698,126
Yorkville East,Central Harlem,22,-73.9492079,40.7762231,-73.9538699,40.7988378,126
Carroll Gardens,Brooklyn Heights,16,-73.9991637,40.6795331,-73.9932872,40.6960105,127
Central Harlem,Washington Heights North,10,-73.9538699,40.7988378,-73.9393554,40.8417082,127
Clinton Hill,Williamsburg (South Side),10,-73.9639021,40.6893665,-73.9517335,40.7079936,127
Corona,Corona,12,-73.8642613,40.7449859,-73.8642613,40.7449859,127
East Harlem North,Highbridge Park,14,-73.9464769,40.8115504,-73.9332427,40.8433959,127
Elmhurst/Maspeth,Sunnyside,4,-73.8932385,40.7395973,-73.9196324,40.7432759,127
Elmhurst/Maspeth,Sunnyside,10,-73.8932385,40.7395973,-73.9196324,40.7432759,127
Hamilton Heights,Bloomingdale,6,-73.9496079,40.8259597,-73.9697795,40.7988958,127
Highbridge Park,Washington Heights North,20,-73.9332427,40.8433959,-73.9393554,40.8417082,127
Homecrest,Manhattan Beach,22,-73.9583652,40.5942311,-73.9389213,40.578158,127
Jackson Heights,North Corona,8,-73.8830701,40.7556818,-73.8624893,40.7502698,127
Jackson Heights,Sunnyside,18,-73.8830701,40.7556818,-73.9196324,40.7432759,127
Jamaica,Jamaica,2,-73.7889689,40.702677,-73.7889689,40.702677,127
Jamaica,Richmond Hill,0,-73.7889689,40.702677,-73.8272029,40.6958108,127
Little Italy/NoLiTa,Clinton Hill,16,-73.9904233,40.7065737,-73.9639021,40.6893665,127
Long Island City/Hunters Point,Bushwick North,22,-73.95639,40.74128,-73.9212858,40.6944282,127
Long Island City/Hunters Point,East Elmhurst,8,-73.95639,40.74128,-73.8713099,40.7737505,127
Long Island City/Hunters Point,Midtown East,8,-73.95639,40.74128,-73.9668408,40.7540369,127
Marine Park/Floyd Bennett Field,Boerum Hill,18,-73.9441579,40.6781784,-73.9844722,40.6848689,127
Marine Park/Floyd Bennett Field,Brownsville,18,-73.9441579,40.6781784,-73.9095279,40.66308,127
Marine Park/Floyd Bennett Field,Bushwick North,0,-73.9441579,40.6781784,-73.9212858,40.6944282,127
Marine Park/Floyd Bennett Field,Williamsburg (South Side),0,-73.9441579,40.6781784,-73.9517335,40.7079936,127
Park Slope,Green-Wood Cemetery,14,-73.9805817,40.6681038,-73.995692,40.659017,127
Stuyvesant Heights,Clinton Hill,18,-73.9330981,40.6882279,-73.9639021,40.6893665,127
Sunnyside,Astoria,8,-73.9196324,40.7432759,-73.9234619,40.7643574,127
Sunnyside,Queensboro Hill,8,-73.9196324,40.7432759,-73.940358,40.7509287,127
Williamsburg (South Side),Marine Park/Floyd Bennett Field,18,-73.9517335,40.7079936,-73.9441579,40.6781784,127
Boerum Hill,Flatbush/Ditmas Park,22,-73.9844722,40.6848689,-73.9624327,40.6409217,128
Brooklyn Heights,Prospect Heights,22,-73.9932872,40.6960105,-73.9668408,40.6774196,128
East Harlem North,JFK Airport,14,-73.9464769,40.8115504,-73.7781391,40.6413111,128
East Harlem North,Mott Haven/Port Morris,6,-73.9464769,40.8115504,-73.9218949,40.7992799,128
Hamilton Heights,Highbridge Park,14,-73.9496079,40.8259597,-73.9332427,40.8433959,128
Jackson Heights,Steinway,4,-73.8830701,40.7556818,-73.9124667,40.7669996,128
Jamaica,Hollis,22,-73.7889689,40.702677,-73.762495,40.7112203,128
Manhattanville,Manhattanville,22,-73.9558333,40.8169443,-73.9558333,40.8169443,128
Marine Park/Floyd Bennett Field,Prospect Heights,6,-73.9441579,40.6781784,-73.9668408,40.6774196,128
Melrose South,Melrose South,20,-73.9168766,40.8209719,-73.9168766,40.8209719,128
Morningside Heights,Central Park,18,-73.9624327,40.8089564,-73.9741874,40.7711329,128
Morningside Heights,Times Sq/Theatre District,18,-73.9624327,40.8089564,-73.9841274,40.7592686,128
Park Slope,Fort Greene,20,-73.9805817,40.6681038,-73.9741874,40.6920638,128
Rego Park,Briarwood/Jamaica Hills,18,-73.8624893,40.7255722,-73.8273848,40.7126936,128
Stuyvesant Heights,Clinton Hill,16,-73.9330981,40.6882279,-73.9639021,40.6893665,128
Sunnyside,Sunnyside,2,-73.9196324,40.7432759,-73.9196324,40.7432759,128
Willets Point,North Corona,20,-73.840436,40.7606911,-73.8624893,40.7502698,128
Yorkville East,Lenox Hill East,10,-73.9492079,40.7762231,-73.9602312,40.7662315,128
Yorkville East,Yorkville East,6,-73.9492079,40.7762231,-73.9492079,40.7762231,128
Boerum Hill,Brooklyn Heights,12,-73.9844722,40.6848689,-73.9932872,40.6960105,129
Brooklyn Heights,Downtown Brooklyn/MetroTech,18,-73.9932872,40.6960105,-73.9861433,40.6942409,129
Brooklyn Heights,Midtown Center,8,-73.9932872,40.6960105,-73.9784137,40.7553676,129
Central Harlem,Central Park,6,-73.9538699,40.7988378,-73.9741874,40.7711329,129
Central Harlem,Mott Haven/Port Morris,0,-73.9538699,40.7988378,-73.9218949,40.7992799,129
Central Harlem,Times Sq/Theatre District,14,-73.9538699,40.7988378,-73.9841274,40.7592686,129
Clinton Hill,Downtown Brooklyn/MetroTech,12,-73.9639021,40.6893665,-73.9861433,40.6942409,129
Cobble Hill,Little Italy/NoLiTa,8,-73.9962255,40.686536,-73.9904233,40.7065737,129
Corona,Rego Park,14,-73.8642613,40.7449859,-73.8624893,40.7255722,129
Downtown Brooklyn/MetroTech,Downtown Brooklyn/MetroTech,8,-73.9861433,40.6942409,-73.9861433,40.6942409,129
Downtown Brooklyn/MetroTech,SoHo,8,-73.9861433,40.6942409,-74.0029883,40.723301,129
Downtown Brooklyn/MetroTech,Stuyvesant Heights,14,-73.9861433,40.6942409,-73.9330981,40.6882279,129
Downtown Brooklyn/MetroTech,Williamsburg (North Side),14,-73.9861433,40.6942409,-73.9634429,40.7190424,129
East Harlem North,Washington Heights North,2,-73.9464769,40.8115504,-73.9393554,40.8417082,129
Forest Hills,Corona,20,-73.8448469,40.718106,-73.8642613,40.7449859,129
Gowanus,Green-Wood Cemetery,20,-73.9903489,40.6733364,-73.995692,40.659017,129
Jackson Heights,East Elmhurst,16,-73.8830701,40.7556818,-73.8713099,40.7737505,129
Little Italy/NoLiTa,Brooklyn Heights,20,-73.9904233,40.7065737,-73.9932872,40.6960105,129
Long Island City/Hunters Point,Greenpoint,10,-73.95639,40.74128,-73.9418603,40.7245448,129
Long Island City/Hunters Point,Greenpoint,12,-73.95639,40.74128,-73.9418603,40.7245448,129
Marine Park/Floyd Bennett Field,Crown Heights North,0,-73.9441579,40.6781784,-73.9447994,40.6681032,129
Morningside Heights,East Harlem North,6,-73.9624327,40.8089564,-73.9464769,40.8115504,129
Prospect Heights,Williamsburg (South Side),0,-73.9668408,40.6774196,-73.9517335,40.7079936,129
Washington Heights North,Bloomingdale,8,-73.9393554,40.8417082,-73.9697795,40.7988958,129
Washington Heights North,Manhattanville,18,-73.9393554,40.8417082,-73.9558333,40.8169443,129
Woodside,Astoria,8,-73.9036487,40.7512123,-73.9234619,40.7643574,129
Woodside,Woodside,6,-73.9036487,40.7512123,-73.9036487,40.7512123,129
Yorkville East,Bloomingdale,6,-73.9492079,40.7762231,-73.9697795,40.7988958,129
Astoria,North Corona,0,-73.9234619,40.7643574,-73.8624893,40.7502698,130
Boerum Hill,Green-Wood Cemetery,16,-73.9844722,40.6848689,-73.995692,40.659017,130
Brooklyn Heights,Clinton Hill,14,-73.9932872,40.6960105,-73.9639021,40.6893665,130
Corona,Rego Park,18,-73.8642613,40.7449859,-73.8624893,40.7255722,130
East Concourse/Concourse Village,East Harlem North,18,-73.919308,40.824062,-73.9464769,40.8115504,130
Little Italy/NoLiTa,Chinatown,8,-73.9904233,40.7065737,-73.9970307,40.7157509,130
Little Italy/NoLiTa,Midtown Center,6,-73.9904233,40.7065737,-73.9784137,40.7553676,130
Marine Park/Floyd Bennett Field,Stuyvesant Heights,6,-73.9441579,40.6781784,-73.9330981,40.6882279,130
Morningside Heights,Lenox Hill East,16,-73.9624327,40.8089564,-73.9602312,40.7662315,130
Park Slope,Marine Park/Floyd Bennett Field,20,-73.9805817,40.6681038,-73.9441579,40.6781784,130
Astoria,Astoria Park,8,-73.9234619,40.7643574,-73.9215888,40.7796684,131
Astoria,East Elmhurst,4,-73.9234619,40.7643574,-73.8713099,40.7737505,131
Astoria,Long Island City/Queens Plaza,22,-73.9234619,40.7643574,-73.9373702,40.7487173,131
Carroll Gardens,Park Slope,18,-73.9991637,40.6795331,-73.9805817,40.6681038,131
Central Harlem,Melrose South,20,-73.9538699,40.7988378,-73.9168766,40.8209719,131
Clinton Hill,Downtown Brooklyn/MetroTech,14,-73.9639021,40.6893665,-73.9861433,40.6942409,131
Cobble Hill,Gowanus,22,-73.9962255,40.686536,-73.9903489,40.6733364,131
East Concourse/Concourse Village,Hamilton Heights,16,-73.919308,40.824062,-73.9496079,40.8259597,131
East Harlem North,Morrisania/Melrose,18,-73.9464769,40.8115504,-73.915231,40.825761,131
East Williamsburg,Ridgewood,0,-73.9330429,40.7158762,-73.9018292,40.7043986,131
Elmhurst,Old Astoria,14,-73.8801301,40.737975,-73.892939,40.7328166,131
Fort Greene,Williamsburg (North Side),20,-73.9741874,40.6920638,-73.9634429,40.7190424,131
Highbridge Park,Highbridge Park,22,-73.9332427,40.8433959,-73.9332427,40.8433959,131
Jackson Heights,Sunnyside,16,-73.8830701,40.7556818,-73.9196324,40.7432759,131
Little Italy/NoLiTa,SoHo,16,-73.9904233,40.7065737,-74.0029883,40.723301,131
Little Italy/NoLiTa,Williamsburg (South Side),20,-73.9904233,40.7065737,-73.9517335,40.7079936,131
Mott Haven/Port Morris,East Harlem North,18,-73.9218949,40.7992799,-73.9464769,40.8115504,131
Queensboro Hill,Long Island City/Queens Plaza,10,-73.940358,40.7509287,-73.9373702,40.7487173,131
South Williamsburg,Clinton Hill,0,-73.9701967,40.7085692,-73.9639021,40.6893665,131
Washington Heights North,Inwood,0,-73.9393554,40.8417082,-73.9212019,40.8677145,131
Williamsburg (North Side),Greenwich Village North,0,-73.9634429,40.7190424,-74.0027418,40.7335719,131
Williamsburg (South Side),Long Island City/Hunters Point,18,-73.9517335,40.7079936,-73.95639,40.74128,131
Woodside,Elmhurst,2,-73.9036487,40.7512123,-73.8801301,40.737975,131
Woodside,Steinway,0,-73.9036487,40.7512123,-73.9124667,40.7669996,131
Woodside,Woodside,4,-73.9036487,40.7512123,-73.9036487,40.7512123,131
Boerum Hill,Erasmus,20,-73.9844722,40.6848689,-73.9523791,40.6496713,132
Boerum Hill,Sunset Park East,18,-73.9844722,40.6848689,-74.0123851,40.645532,132
Boerum Hill,Williamsburg (North Side),16,-73.9844722,40.6848689,-73.9634429,40.7190424,132
Brooklyn Heights,Seaport,8,-73.9932872,40.6960105,-74.0037097,40.7065616,132
Cobble Hill,Boerum Hill,0,-73.9962255,40.686536,-73.9844722,40.6848689,132
Cobble Hill,Downtown Brooklyn/MetroTech,10,-73.9962255,40.686536,-73.9861433,40.6942409,132
Corona,Jackson Heights,10,-73.8642613,40.7449859,-73.8830701,40.7556818,132
Flushing,Hillcrest/Pomonok,18,-73.833079,40.7674987,-73.8244593,40.7370967,132
Fort Greene,Boerum Hill,22,-73.9741874,40.6920638,-73.9844722,40.6848689,132
Hamilton Heights,East Concourse/Concourse Village,12,-73.9496079,40.8259597,-73.919308,40.824062,132
Rego Park,Forest Hills,10,-73.8624893,40.7255722,-73.8448469,40.718106,132
South Williamsburg,Clinton Hill,2,-73.9701967,40.7085692,-73.9639021,40.6893665,132
Sunnyside,Jackson Heights,22,-73.9196324,40.7432759,-73.8830701,40.7556818,132
Sunnyside,Long Island City/Queens Plaza,10,-73.9196324,40.7432759,-73.9373702,40.7487173,132
Williamsburg (North Side),East Williamsburg,16,-73.9634429,40.7190424,-73.9330429,40.7158762,132
Williamsburg (North Side),Marine Park/Floyd Bennett Field,18,-73.9634429,40.7190424,-73.9441579,40.6781784,132
Williamsburg (North Side),SoHo,18,-73.9634429,40.7190424,-74.0029883,40.723301,132
Williamsburg (North Side),Sunnyside,22,-73.9634429,40.7190424,-73.9196324,40.7432759,132
Williamsburg (South Side),East Village,2,-73.9517335,40.7079936,-73.9815337,40.7264773,132
Williamsburg (South Side),Prospect Heights,20,-73.9517335,40.7079936,-73.9668408,40.6774196,132
Brooklyn Heights,Fort Greene,20,-73.9932872,40.6960105,-73.9741874,40.6920638,133
Brooklyn Heights,Prospect Heights,16,-73.9932872,40.6960105,-73.9668408,40.6774196,133
Bushwick North,Stuyvesant Heights,22,-73.9212858,40.6944282,-73.9330981,40.6882279,133
East Harlem North,Inwood,18,-73.9464769,40.8115504,-73.9212019,40.8677145,133
East Harlem North,University Heights/Morris Heights,18,-73.9464769,40.8115504,-73.9172035,40.8494044,133
Elmhurst,Sunnyside,12,-73.8801301,40.737975,-73.9196324,40.7432759,133
Elmhurst/Maspeth,North Corona,12,-73.8932385,40.7395973,-73.8624893,40.7502698,133
Elmhurst/Maspeth,Rego Park,18,-73.8932385,40.7395973,-73.8624893,40.7255722,133
Elmhurst/Maspeth,Steinway,14,-73.8932385,40.7395973,-73.9124667,40.7669996,133
Greenpoint,East Williamsburg,20,-73.9418603,40.7245448,-73.9330429,40.7158762,133
Highbridge Park,Highbridge Park,6,-73.9332427,40.8433959,-73.9332427,40.8433959,133
Jackson Heights,Steinway,2,-73.8830701,40.7556818,-73.9124667,40.7669996,133
Little Italy/NoLiTa,SoHo,12,-73.9904233,40.7065737,-74.0029883,40.723301,133
Marine Park/Floyd Bennett Field,Boerum Hill,8,-73.9441579,40.6781784,-73.9844722,40.6848689,133
Prospect Heights,Erasmus,20,-73.9668408,40.6774196,-73.9523791,40.6496713,133
Queensboro Hill,Astoria,8,-73.940358,40.7509287,-73.9234619,40.7643574,133
Randalls Island,Upper East Side North,10,-73.9271644,40.7891291,-73.9565551,40.7735649,133
Randalls Island,Upper East Side North,18,-73.9271644,40.7891291,-73.9565551,40.7735649,133
South Williamsburg,Greenpoint,2,-73.9701967,40.7085692,-73.9418603,40.7245448,133
Washington Heights North,Highbridge Park,6,-73.9393554,40.8417082,-73.9332427,40.8433959,133
Washington Heights North,Inwood,10,-73.9393554,40.8417082,-73.9212019,40.8677145,133
Williamsburg (South Side),Stuyvesant Heights,16,-73.9517335,40.7079936,-73.9330981,40.6882279,133
Boerum Hill,Flatbush/Ditmas Park,0,-73.9844722,40.6848689,-73.9624327,40.6409217,134
Brownsville,Brownsville,20,-73.9095279,40.66308,-73.9095279,40.66308,134
Central Harlem,Times Sq/Theatre District,6,-73.9538699,40.7988378,-73.9841274,40.7592686,134
Central Harlem,Washington Heights North,12,-73.9538699,40.7988378,-73.9393554,40.8417082,134
Clinton Hill,Williamsburg (North Side),16,-73.9639021,40.6893665,-73.9634429,40.7190424,134
Coney Island,Coney Island,10,-73.9859414,40.5749261,-73.9859414,40.5749261,134
Corona,Corona,10,-73.8642613,40.7449859,-73.8642613,40.7449859,134
